accession,symbol,description,log2FC,pval,padj
O95997,PTTG1,Securin OS=Homo sapiens OX=9606 GN=PTTG1 PE=1 SV=1,-0.365690940993454,2.754444396650863e-10,1.8212386350655505e-06
Q15397,PUM3,Pumilio homolog 3 OS=Homo sapiens OX=9606 GN=PUM3 PE=1 SV=3,-0.4118322970515491,6.484768263950234e-10,2.1438643880619472e-06
Q14527,HLTF,Helicase-like transcription factor OS=Homo sapiens OX=9606 GN=HLTF PE=1 SV=2,-0.5340664334006182,1.6877240781247144e-09,3.7197438681868708e-06
Q587I9,SFT2D3,Vesicle transport protein SFT2C OS=Homo sapiens OX=9606 GN=SFT2D3 PE=2 SV=1,-0.6882913066075911,2.33122205492992e-09,3.722612934074058e-06
Q969X6,UTP4,U3 small nucleolar RNA-associated protein 4 homolog OS=Homo sapiens OX=9606 GN=UTP4 PE=1 SV=1,-0.44231577222842633,2.815043053595023e-09,3.722612934074058e-06
Q9Y620,RAD54B,DNA repair and recombination protein RAD54B OS=Homo sapiens OX=9606 GN=RAD54B PE=1 SV=1,-0.38413494582087004,4.360393355916755e-09,4.805153478220264e-06
P05388,RPLP0,60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1,-0.18460138849112173,6.203624802390999e-09,5.227327841940733e-06
P60228,EIF3E,Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1,-0.27984433564382494,6.802450373422652e-09,5.227327841940733e-06
Q9ULT8,HECTD1,E3 ubiquitin-protein ligase HECTD1 OS=Homo sapiens OX=9606 GN=HECTD1 PE=1 SV=3,-0.3734104573196144,7.115237534402086e-09,5.227327841940733e-06
Q96IZ0,PAWR,PRKC apoptosis WT1 regulator protein OS=Homo sapiens OX=9606 GN=PAWR PE=1 SV=1,-0.4987709907675439,8.378423228694037e-09,5.5398134388124974e-06
Q9UNQ2,DIMT1,Probable dimethyladenosine transferase OS=Homo sapiens OX=9606 GN=DIMT1 PE=1 SV=1,-0.2875596170933792,1.0788968954532689e-08,5.6204594926469526e-06
O75369,FLNB,Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2,-0.7273657309343755,1.1294116994045427e-08,5.6204594926469526e-06
Q9NS91,RAD18,E3 ubiquitin-protein ligase RAD18 OS=Homo sapiens OX=9606 GN=RAD18 PE=1 SV=2,-0.7080219664546119,1.1387798756183362e-08,5.6204594926469526e-06
Q71RC2,LARP4,La-related protein 4 OS=Homo sapiens OX=9606 GN=LARP4 PE=1 SV=3,-0.44370426058253565,1.1920513902124748e-08,5.6204594926469526e-06
Q9Y3C1,NOP16,Nucleolar protein 16 OS=Homo sapiens OX=9606 GN=NOP16 PE=1 SV=2,-0.4533474277828693,1.2750588685678206e-08,5.6204594926469526e-06
Q99952,PTPN18,Tyrosine-protein phosphatase non-receptor type 18 OS=Homo sapiens OX=9606 GN=PTPN18 PE=1 SV=2,0.3287469269205492,1.3703874934972767e-08,5.663126316877496e-06
P21333,FLNA,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,-0.8152505783595672,1.6676200537310226e-08,6.298771074891536e-06
Q14008,CKAP5,Cytoskeleton-associated protein 5 OS=Homo sapiens OX=9606 GN=CKAP5 PE=1 SV=3,-0.34797870314529744,1.7768964772809985e-08,6.298771074891536e-06
P62328,TMSB4X,Thymosin beta-4 OS=Homo sapiens OX=9606 GN=TMSB4X PE=1 SV=2,0.42631016939696353,1.809991688187223e-08,6.298771074891536e-06
Q86WA8,LONP2,"Lon protease homolog 2, peroxisomal OS=Homo sapiens OX=9606 GN=LONP2 PE=1 SV=1",-0.6752306792309648,2.1208286140800257e-08,6.591792089434295e-06
Q9NPD8,UBE2T,Ubiquitin-conjugating enzyme E2 T OS=Homo sapiens OX=9606 GN=UBE2T PE=1 SV=1,-0.9879937473607234,2.1626375527182866e-08,6.591792089434295e-06
Q9NZJ0,DTL,Denticleless protein homolog OS=Homo sapiens OX=9606 GN=DTL PE=1 SV=3,-1.440740793658968,2.1932762548026994e-08,6.591792089434295e-06
Q9UKL0,RCOR1,REST corepressor 1 OS=Homo sapiens OX=9606 GN=RCOR1 PE=1 SV=2,-0.10011893405026195,2.421522128108397e-08,6.961349700457705e-06
P46776,RPL27A,60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2,-0.2021088463069649,3.1534507777207524e-08,8.315469722728857e-06
P14598,NCF1,Neutrophil cytosol factor 1 OS=Homo sapiens OX=9606 GN=NCF1 PE=1 SV=4,0.626402663784861,3.175217226033833e-08,8.315469722728857e-06
O75534,CSDE1,Cold shock domain-containing protein E1 OS=Homo sapiens OX=9606 GN=CSDE1 PE=1 SV=2,-0.5318612323446321,3.269845928477772e-08,8.315469722728857e-06
P42285,MTREX,Exosome RNA helicase MTR4 OS=Homo sapiens OX=9606 GN=MTREX PE=1 SV=3,-0.43795767164294297,3.5749923356450064e-08,8.754759008623994e-06
P54619,PRKAG1,5'-AMP-activated protein kinase subunit gamma-1 OS=Homo sapiens OX=9606 GN=PRKAG1 PE=1 SV=1,0.17944323552996444,3.8013894806457685e-08,8.83969696660807e-06
Q8WUX1,SLC38A5,Sodium-coupled neutral amino acid transporter 5 OS=Homo sapiens OX=9606 GN=SLC38A5 PE=1 SV=1,-0.3728223892369028,3.8770600730737145e-08,8.83969696660807e-06
P02751,FN1,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5,0.8148851298430879,4.120437695422615e-08,9.081444680711443e-06
P19388,POLR2E,"DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV=4",-0.12380898226908454,4.812155534707802e-08,1.021390008541398e-05
Q13206,DDX10,Probable ATP-dependent RNA helicase DDX10 OS=Homo sapiens OX=9606 GN=DDX10 PE=1 SV=2,-0.4272526675552517,5.177493876939872e-08,1.021390008541398e-05
Q8NCF5,NFATC2IP,NFATC2-interacting protein OS=Homo sapiens OX=9606 GN=NFATC2IP PE=1 SV=1,-0.3514032058843786,5.203063032584243e-08,1.021390008541398e-05
Q13356,PPIL2,RING-type E3 ubiquitin-protein ligase PPIL2 OS=Homo sapiens OX=9606 GN=PPIL2 PE=1 SV=1,-0.17283720167189054,5.31171064944695e-08,1.021390008541398e-05
O14757,CHEK1,Serine/threonine-protein kinase Chk1 OS=Homo sapiens OX=9606 GN=CHEK1 PE=1 SV=2,-0.7025181253437494,5.406631926640794e-08,1.021390008541398e-05
P0DPB5,POLR1D,"Protein POLR1D, isoform 2 OS=Homo sapiens OX=9606 GN=POLR1D PE=1 SV=1",-0.5072315740986533,5.6372149505615415e-08,1.0353684792531364e-05
Q9H7B2,RPF2,Ribosome production factor 2 homolog OS=Homo sapiens OX=9606 GN=RPF2 PE=1 SV=2,-0.300980633080991,6.384705840056923e-08,1.140964189579902e-05
Q13823,GNL2,Nucleolar GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=GNL2 PE=1 SV=1,-0.6173941017540785,7.332790500363005e-08,1.2759055470631627e-05
Q9Y5J1,UTP18,U3 small nucleolar RNA-associated protein 18 homolog OS=Homo sapiens OX=9606 GN=UTP18 PE=1 SV=3,-0.3591559645418192,7.583999899336635e-08,1.2857796752413802e-05
Q96I99,SUCLG2,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG2 PE=1 SV=2",0.16372938051709562,7.973035185179797e-08,1.3179427161102206e-05
P25686,DNAJB2,DnaJ homolog subfamily B member 2 OS=Homo sapiens OX=9606 GN=DNAJB2 PE=1 SV=3,0.32598879024905625,8.510831987328115e-08,1.3725273439076464e-05
P42331,ARHGAP25,Rho GTPase-activating protein 25 OS=Homo sapiens OX=9606 GN=ARHGAP25 PE=1 SV=2,0.20426997199452712,9.07619792822547e-08,1.4288528738434955e-05
Q3KQU3,MAP7D1,MAP7 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MAP7D1 PE=1 SV=1,-0.38831374083524983,9.492271152724378e-08,1.4362509947862628e-05
P53350,PLK1,Serine/threonine-protein kinase PLK1 OS=Homo sapiens OX=9606 GN=PLK1 PE=1 SV=1,-0.3911695563744333,9.694750600921144e-08,1.4362509947862628e-05
Q9BVS4,RIOK2,Serine/threonine-protein kinase RIO2 OS=Homo sapiens OX=9606 GN=RIOK2 PE=1 SV=2,-0.932073479852076,9.774847968146072e-08,1.4362509947862628e-05
Q8IUF8,RIOX2,Ribosomal oxygenase 2 OS=Homo sapiens OX=9606 GN=RIOX2 PE=1 SV=1,-0.34064466592274434,1.0169724907928106e-07,1.4406473961576184e-05
P11940,PABPC1,Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2,-0.27655814054307637,1.0240536542560204e-07,1.4406473961576184e-05
O43709,BUD23,Probable 18S rRNA (guanine-N(7))-methyltransferase OS=Homo sapiens OX=9606 GN=BUD23 PE=1 SV=2,-0.6335386679214864,1.0695337393832086e-07,1.4732827260003698e-05
Q9NZ63,C9ORF78,Telomere length and silencing protein 1 homolog OS=Homo sapiens OX=9606 GN=C9orf78 PE=1 SV=1,-0.29768066513020375,1.1607231574094583e-07,1.5662656156717017e-05
Q6PL18,ATAD2,ATPase family AAA domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ATAD2 PE=1 SV=1,-0.41145150391371965,1.3062920207208061e-07,1.727440568201194e-05
P52907,CAPZA1,F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3,0.15263543319034767,1.3526755332416754e-07,1.737187104467657e-05
Q14690,PDCD11,Protein RRP5 homolog OS=Homo sapiens OX=9606 GN=PDCD11 PE=1 SV=3,-0.1300580926213626,1.3662088540882963e-07,1.737187104467657e-05
Q3B820,FAM161A,Protein FAM161A OS=Homo sapiens OX=9606 GN=FAM161A PE=1 SV=2,-0.28874850048900313,1.4895974609107837e-07,1.8583430965173777e-05
Q15269,PWP2,Periodic tryptophan protein 2 homolog OS=Homo sapiens OX=9606 GN=PWP2 PE=2 SV=2,-0.19729722422131513,1.5663221801905498e-07,1.917874491744429e-05
Q9UNE7,STUB1,E3 ubiquitin-protein ligase CHIP OS=Homo sapiens OX=9606 GN=STUB1 PE=1 SV=2,-0.22631234528048072,1.6438775033606876e-07,1.9762396458583392e-05
P04839,CYBB,Cytochrome b-245 heavy chain OS=Homo sapiens OX=9606 GN=CYBB PE=1 SV=2,0.3496998236255461,1.899294728684943e-07,2.199756825944166e-05
P48735,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial OS=Homo sapiens OX=9606 GN=IDH2 PE=1 SV=2",0.27813485032184326,1.9274739215118568e-07,2.199756825944166e-05
Q13200,PSMD2,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3,-0.3378924477358436,1.9296112508282156e-07,2.199756825944166e-05
Q9UKK3,PARP4,Protein mono-ADP-ribosyltransferase PARP4 OS=Homo sapiens OX=9606 GN=PARP4 PE=1 SV=3,-0.4139524701539165,2.0007678406477638e-07,2.2354773367881684e-05
A0PJW8,DAPL1,Death-associated protein-like 1 OS=Homo sapiens OX=9606 GN=DAPL1 PE=1 SV=2,0.8894570675656821,2.0285638264865413e-07,2.2354773367881684e-05
